CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
5/23/2015,27,17,8,7,4,0,61,42,23,1028,1025,1022,16,16,16,32,12,37,0,3,,170
5/24/2015,22,19,15,17,12,7,93,71,48,1022,1018,1012,16,14,3,24,12,35,9.14,7,Rain,124
5/25/2015,26,22,18,19,17,14,78,66,54,1014,1011,1010,16,15,6,42,24,58,1.78,6,Rain,205
5/26/2015,23,21,18,19,18,16,93,81,68,1013,1010,1007,16,13,2,50,20,69,12.7,6,Rain,191
5/27/2015,23,19,15,16,14,12,87,68,49,1020,1014,1010,16,16,16,37,17,45,T,4,,254
5/28/2015,28,20,12,14,12,11,93,65,36,1023,1021,1017,16,16,16,26,10,37,0,4,,128
5/29/2015,27,22,17,19,17,13,87,71,54,1017,1015,1012,16,15,2,40,16,63,5.08,7,Rain,193
5/30/2015,22,14,7,18,11,3,100,88,76,1021,1017,1013,16,13,5,47,23,61,10.41,8,Rain,7
5/31/2015,13,9,6,6,4,3,89,72,54,1024,1022,1019,16,12,4,42,26,53,T,8,Rain,28
6/1/2015,16,11,7,6,4,1,77,60,43,1025,1024,1023,16,16,16,27,15,32,0,5,,45
6/2/2015,21,13,6,8,6,3,83,58,33,1023,1021,1019,16,16,16,24,9,34,0,2,,80
6/3/2015,25,18,10,13,11,7,89,68,46,1019,1017,1014,16,16,13,24,11,34,0,5,,157
6/4/2015,27,21,14,17,15,11,86,69,51,1016,1015,1014,16,16,16,23,12,31,0,6,,203
6/5/2015,21,17,13,15,12,10,93,80,67,1021,1019,1015,16,14,1,40,24,47,0,6,,31
6/6/2015,22,17,11,11,9,8,89,71,53,1022,1020,1015,16,16,16,23,13,32,0,6,,50
6/7/2015,27,20,13,22,17,8,90,79,67,1014,1008,1004,16,14,5,34,19,47,9.14,7,Rain-Thunderstorm,201
6/8/2015,29,23,16,19,17,12,93,67,40,1008,1005,1004,16,15,8,45,19,55,1.02,6,Rain-Hail-Thunderstorm,263
6/9/2015,29,23,16,16,14,12,84,62,40,1010,1008,1006,16,16,13,24,14,32,0,6,,243
6/10/2015,33,27,20,19,17,14,68,56,44,1010,1006,1005,16,16,16,37,19,50,0,4,,233
6/11/2015,22,18,14,16,14,12,93,75,57,1011,1010,1008,16,13,6,32,13,37,6.86,8,Rain,45
6/12/2015,19,17,13,18,14,12,100,93,86,1014,1010,1006,16,7,3,26,13,32,3.3,8,Rain-Thunderstorm,14
6/13/2015,30,22,13,21,16,13,100,80,59,1014,1013,1011,16,8,0,27,11,37,10.16,8,Fog-Rain-Thunderstorm,117
6/14/2015,28,24,20,21,20,19,100,82,63,1014,1012,1012,16,11,3,27,11,37,15.24,7,Rain,223
6/15/2015,27,23,20,23,21,20,93,81,69,1014,1013,1011,16,9,1,29,9,40,65.02,8,Fog-Rain-Thunderstorm,215
6/16/2015,22,18,13,18,12,7,93,69,44,1021,1019,1015,16,15,8,23,17,,0,5,,33
6/17/2015,22,18,13,18,14,7,90,76,62,1018,1016,1014,16,12,5,14,7,18,3.56,8,Rain,153
6/18/2015,26,21,14,21,18,10,100,77,54,1018,1014,1013,16,11,0,34,16,42,6.86,7,Fog-Rain-Thunderstorm,242
6/19/2015,19,16,12,12,9,8,77,68,58,1020,1018,1015,16,16,16,26,16,39,0,6,,36
6/20/2015,26,19,12,20,14,7,78,70,62,1014,1011,1006,16,15,3,40,11,50,7.87,7,Rain-Thunderstorm,331
6/21/2015,29,24,19,20,18,16,100,72,44,1014,1012,1009,16,16,14,26,13,34,0,6,,259
6/22/2015,28,24,19,23,22,18,97,83,69,1015,1010,1006,16,15,6,45,17,56,2.29,7,Rain-Thunderstorm,212
6/23/2015,28,23,17,21,13,9,87,60,33,1019,1015,1008,16,16,16,35,16,47,0,3,,325
6/24/2015,26,21,16,17,14,12,84,67,50,1021,1019,1017,16,16,16,24,8,29,T,6,,214
6/25/2015,26,21,16,19,18,13,93,78,62,1016,1014,1013,16,13,3,24,11,34,25.65,8,Rain-Thunderstorm,37
6/26/2015,19,17,14,16,14,12,97,89,81,1016,1015,1014,16,10,0,26,15,34,3.3,8,Rain,33
