AEST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
4/25/2015,27,21,15,18,15,12,94,68,32,1011,1009,1007,31,18,10,19,11,,0,1,Fog,307
4/26/2015,23,18,14,15,4,0,88,37,14,1016,1011,1008,31,20,10,53,24,72,0,1,,259
4/27/2015,24,17,10,15,9,6,88,59,28,1020,1017,1015,31,18,10,24,13,,0,1,,201
4/28/2015,24,18,13,13,12,11,88,61,34,1023,1021,1018,31,13,10,23,13,,0,1,Rain,163
4/29/2015,23,18,13,16,13,11,94,71,43,1026,1024,1022,31,13,8,24,14,,1.02,4,Rain,167
4/30/2015,18,17,16,17,16,15,100,93,82,1026,1023,1021,31,9,3,23,13,34,39.88,6,Rain,187
5/1/2015,22,19,16,20,17,13,100,91,57,1021,1012,1005,14,7,1,34,16,52,129.03,6,Rain-Thunderstorm,130
5/2/2015,23,20,16,17,16,14,94,79,49,1013,1011,1008,26,11,10,21,13,,0,3,,335
5/3/2015,24,20,16,17,16,14,94,76,49,1013,1011,1009,10,10,10,21,10,,0,5,,265
5/4/2015,25,20,15,18,16,13,100,78,37,1014,1013,1011,31,15,10,13,10,,0,1,Fog,201
5/5/2015,26,21,16,19,17,15,100,79,48,1014,1012,1009,31,15,10,16,10,,0,1,,312
5/6/2015,29,22,16,19,16,11,100,72,24,1015,1013,1011,31,19,10,19,8,,0,0,Fog,237
5/7/2015,26,19,12,17,11,6,88,60,29,1018,1015,1014,31,14,10,27,11,,0,1,,204
5/8/2015,23,17,11,14,9,3,88,58,26,1019,1017,1015,31,13,10,24,11,,0,1,,177
5/9/2015,23,17,11,12,8,2,94,57,14,1019,1017,1015,31,12,10,21,11,,0,1,,250
5/10/2015,25,17,8,8,6,2,82,48,14,1017,1015,1013,,,,21,10,,0,,,255
5/11/2015,25,18,10,9,6,4,63,42,19,1016,1015,1012,,,,32,16,,0,,,272
5/12/2015,24,17,10,15,11,7,88,64,28,1018,1015,1014,31,11,10,16,10,,0,1,,260
5/13/2015,24,17,11,10,8,2,88,51,21,1019,1015,1013,10,10,10,32,14,,0,,,256
5/14/2015,20,14,8,5,1,-3,76,40,17,1026,1023,1020,31,31,31,32,21,,0,,,227
5/15/2015,22,14,7,12,7,3,76,54,26,1028,1026,1025,31,12,10,26,14,,0,3,,192
5/16/2015,23,18,13,16,13,10,88,72,36,1029,1028,1027,31,12,10,24,16,,0.25,4,Rain,175
5/17/2015,23,18,14,17,15,13,100,80,46,1030,1028,1027,26,11,5,21,13,,5.08,5,Rain,164
5/18/2015,23,20,17,17,16,15,100,85,61,1028,1025,1024,31,12,6,23,11,,0.25,5,Rain,171
